#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 00:47:10
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 00:47:10 GET / - - 123.125.71.18 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 304 183
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 01:44:34
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 01:44:34 GET /robots.txt - - 136.243.5.215 HTTP/1.0 Mozilla/5.0+(compatible;+MJ12bot/v1.4.5;+http://www.majestic12.co.uk/bot.php?+) - 404 1424
2016-04-28 01:44:36 GET /kunstnere/opdahl.shtml - - 136.243.5.215 HTTP/1.0 Mozilla/5.0+(compatible;+MJ12bot/v1.4.5;+http://www.majestic12.co.uk/bot.php?+) - 404 1424
2016-04-28 01:52:04 GET / - - 66.249.78.46 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 1197
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 04:27:35
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 04:27:35 GET /robots.txt - - 68.180.229.226 HTTP/1.1 Mozilla/5.0+(compatible;+Yahoo!+Slurp;+http://help.yahoo.com/help/us/ysearch/slurp) - 404 1405
2016-04-28 04:27:35 GET /kunstnere/bergesen.shtml - - 68.180.229.226 HTTP/1.1 Mozilla/5.0+(compatible;+Yahoo!+Slurp;+http://help.yahoo.com/help/us/ysearch/slurp) - 404 1405
2016-04-28 04:30:19 GET /utstilling/uts_sandoy.shtml - - 157.55.39.17 HTTP/1.1 msnbot-media/1.1+(+http://search.msn.com/msnbot.htm) - 404 1405
2016-04-28 04:30:57 GET /kunstnere/kharr.shtml - - 157.55.39.17 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2016-04-28 05:11:57
#Fields: date time cs-method cs-uri-stem cs-uri-query cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes
2016-04-28 05:11:56 GET /kunstnere/bleken.shtml - - 157.55.39.17 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
